Scenario,Flood_Area_km2,Max_Depth_m,Mean_Depth_m,Na_MaxDepth_m,Na_Arrival_min
S2_Full_66352,30.6,285.5,132.5,,Not flooded
S3_Cascade_107487,34.8,332.7,156.6,,Not flooded
